Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,-2.0622733,1.4162921,47.85637,0.02392289,0.00028755845,3956.0,-1796.449979186058,-1796.449979186058,1.0
40000,-3.704875,1.4170939,43.99772,0.026002815,0.00028138922,3007.0,-1248.8999917507172,-1248.8999917507172,1.0
50000,-5.3218417,1.4164838,38.027596,0.023226377,0.00027516845,3022.0,-1252.599962592125,-1252.599962592125,1.0
60000,-6.495876,1.415923,33.019497,0.020179195,0.0002689386,1729.0,-641.2999950647354,-641.2999950647354,1.0
70000,-7.829222,1.4152845,31.954039,0.02931132,0.00026272744,5694.0,-2567.9599681615828,-2567.9599681615828,1.0
80000,-9.095334,1.4141037,35.208584,0.024717627,0.00025657564,1293.75,-561.4749900400639,-561.4749900400639,1.0
90000,-10.105583,1.4160839,34.70617,0.02352962,0.00025041908,1805.75,-832.7499830722809,-832.7499830722809,1.0
100000,-11.42041,1.4168115,29.576212,0.026866624,0.00024423297,1464.75,-605.7749929428101,-605.7749929428101,1.0
110000,-12.508731,1.4166468,27.341608,0.019518932,0.00023808061,1532.5,-746.3499883413315,-746.3499883413315,1.0
120000,-13.791056,1.4157809,27.777384,0.01946858,0.00023190305,1417.2,-632.539989233017,-632.539989233017,1.0
130000,-14.539394,1.4145344,21.380129,0.02263523,0.00022575009,669.875,-294.61249697208405,-294.61249697208405,1.0
140000,-15.262374,1.4124846,25.096304,0.02259153,0.00021957062,1217.5,-559.049989759922,-559.049989759922,1.0
150000,-15.946123,1.4112517,21.539854,0.02726378,0.00021338408,1328.6666666666667,-598.6833230455717,-598.6833230455717,1.0
160000,-17.076532,1.4107139,25.898262,0.017175637,0.00020716745,1299.2857142857142,-578.1142704827445,-578.1142704827445,1.0
170000,-17.438282,1.4098177,18.621325,0.028627569,0.00020098867,836.875,-392.04999516904354,-392.04999516904354,1.0
180000,-18.177708,1.4089304,23.93533,0.024475638,0.00019474268,849.5555555555555,-412.34443765216406,-412.34443765216406,1.0
190000,-18.956165,1.4075388,18.015505,0.02526722,0.00018859451,647.0,-316.97499614953995,-316.97499614953995,1.0
