Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.6352178,32.446666666666665,418.73825,445.5106867659451,445.5106867659451,1.0
20000,0.6355729,32.37867647058823,417.841,437.2640444811653,437.2640444811653,1.0
30000,0.63639873,33.02745098039216,415.9521,449.85337394475937,449.85337394475937,1.0
40000,0.6360081,33.520833333333336,410.00452,474.0610712369283,474.0610712369283,1.0
50000,0.6368595,33.6036866359447,392.95386,479.68116334836054,479.68116334836054,1.0
60000,0.637566,54.87916666666667,396.96307,490.240053331852,490.240053331852,1.0
70000,0.63839424,49.19402985074627,365.2873,486.1878795670991,486.1878795670991,1.0
80000,0.63946867,33.435064935064936,338.29425,491.30261820012873,491.30261820012873,1.0
90000,0.64089406,33.91304347826087,296.77948,499.0666034200917,499.0666034200917,1.0
100000,0.64108956,86.71052631578948,333.65652,483.9438279180337,483.9438279180337,1.0
110000,0.64021087,58.98888888888889,372.216,487.61754747780645,487.61754747780645,1.0
120000,0.6403731,33.833333333333336,327.06848,499.12188744923424,499.12188744923424,1.0
130000,0.6413709,88.70370370370371,324.56235,484.7858952447909,484.7858952447909,1.0
140000,0.6424084,33.70967741935484,296.8764,499.00042046440973,499.00042046440973,1.0
150000,0.64293265,100.44444444444444,258.64005,495.2212567506013,495.2212567506013,1.0
160000,0.6429785,166.97857142857143,353.96625,469.4138650310983,469.4138650310983,1.0
170000,0.64269125,46.0,385.35596,488.659644070492,488.659644070492,1.0
180000,0.6429839,33.67777777777778,385.13846,495.81678068045096,495.81678068045096,1.0
190000,0.6438402,85.3587786259542,326.05844,491.36626276236314,491.36626276236314,1.0
200000,0.6446686,33.729166666666664,286.2928,492.9065489621507,492.9065489621507,1.0
210000,0.64484644,33.793103448275865,215.4877,499.06923041909425,499.06923041909425,1.0
220000,0.64444494,254.10204081632654,185.58182,449.0783832316496,449.0783832316496,1.0
230000,0.6440782,102.36641221374046,307.7766,485.7859878521699,485.7859878521699,1.0
240000,0.6440001,177.23668639053255,330.42776,487.0167203132923,487.0167203132923,1.0
250000,0.64388514,33.7037037037037,366.9391,499.1168241017425,499.1168241017425,1.0
260000,0.6428136,55.452,393.387,493.0130049772263,493.0130049772263,1.0
270000,0.6418299,51.97701149425287,410.1662,493.4287880974254,493.4287880974254,1.0
280000,0.64041036,33.470588235294116,368.81137,499.12457870855565,499.12457870855565,1.0
290000,0.6388893,33.93854748603352,335.59613,499.09203432918935,499.09203432918935,1.0
300000,0.63846916,33.483333333333334,330.94843,499.15419874665486,499.15419874665486,1.0
310000,0.6367779,90.0813953488372,324.94568,488.6170951079207,488.6170951079207,1.0
320000,0.63414145,60.87623762376238,392.8153,494.55202907646816,494.55202907646816,1.0
330000,0.63366026,43.94565217391305,374.10406,491.9441436587787,491.9441436587787,1.0
340000,0.63358426,53.055813953488375,367.50085,492.3537684182326,492.3537684182326,1.0
350000,0.63318896,33.357798165137616,366.59363,490.8075113604146,490.8075113604146,1.0
360000,0.6316644,33.66829268292683,356.83124,496.1714781970513,496.1714781970513,1.0
370000,0.6316191,59.30582524271845,357.11285,494.630730139399,494.630730139399,1.0
380000,0.6317706,58.822916666666664,349.22668,494.46109516297776,494.46109516297776,1.0
390000,0.631714,33.773972602739725,323.29398,499.13013011011583,499.13013011011583,1.0
400000,0.6320648,63.38265306122449,351.2547,494.2697519566202,494.2697519566202,1.0
410000,0.6315556,33.63128491620112,331.78812,499.1666171603733,499.1666171603733,1.0
420000,0.63163894,80.32718894009217,371.33206,490.81774771432265,490.81774771432265,1.0
430000,0.63144875,33.65680473372781,383.2637,499.1379734220959,499.1379734220959,1.0
440000,0.6312493,51.06614785992218,420.9964,494.87436894298526,494.87436894298526,1.0
450000,0.6313333,33.27739726027397,422.89096,499.1881332397461,499.1881332397461,1.0
460000,0.6306769,33.41015625,402.74622,494.48882718216123,494.48882718216123,1.0
470000,0.63048166,33.76279069767442,365.03717,499.0970193738135,499.0970193738135,1.0
