Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.2518723,54.23762376237624,61.843918,682.1910943843351,682.1910943843351,1.0
20000,1.2498883,145.3793103448276,66.119835,776.9817637903936,776.9817637903936,1.0
30000,1.2488492,149.43939393939394,63.945866,798.8665898062966,798.8665898062966,1.0
40000,1.2475872,117.61363636363636,65.84173,755.9592468657277,755.9592468657277,1.0
50000,1.2467569,132.18309859154928,66.89543,757.3261876164211,757.3261876164211,1.0
60000,1.2459656,143.93243243243242,68.8,794.469332753001,794.469332753001,1.0
70000,1.2453856,139.39655172413794,67.02024,782.7763571355302,782.7763571355302,1.0
80000,1.2451851,131.6046511627907,70.23375,777.6821127118067,777.6821127118067,1.0
90000,1.2448646,134.41379310344828,67.29785,776.1039618233503,776.1039618233503,1.0
100000,1.2433691,186.47142857142856,66.675095,900.4148782240493,900.4148782240493,1.0
110000,1.2426244,121.35135135135135,71.7918,794.8596742217605,794.8596742217605,1.0
120000,1.2412143,105.92537313432835,68.93669,783.3307433626545,783.3307433626545,1.0
130000,1.2390753,126.36708860759494,71.87547,777.250575954401,777.250575954401,1.0
140000,1.2374842,148.02272727272728,72.95285,840.7859737064397,840.7859737064397,1.0
150000,1.2353095,133.3370786516854,73.03126,836.7936474071608,836.7936474071608,1.0
160000,1.2333491,90.3012048192771,74.39891,812.3861282559002,812.3861282559002,1.0
170000,1.2319348,115.24444444444444,74.286125,767.2607994818026,767.2607994818026,1.0
180000,1.2304147,112.82608695652173,76.678696,810.995733221372,810.995733221372,1.0
190000,1.2286679,138.0,77.21099,841.6623972012446,841.6623972012446,1.0
200000,1.2268566,106.23809523809524,76.979126,825.6009263169198,825.6009263169198,1.0
210000,1.2243474,98.03260869565217,77.22162,812.3102301553539,812.3102301553539,1.0
220000,1.2213855,105.30666666666667,76.3987,870.3174860351965,870.3174860351965,1.0
230000,1.2186577,130.26136363636363,78.139404,849.0836950982555,849.0836950982555,1.0
240000,1.216211,112.02020202020202,81.05412,787.2239955663681,787.2239955663681,1.0
250000,1.214111,105.23655913978494,77.58325,806.6750624205476,806.6750624205476,1.0
260000,1.2120923,117.42708333333333,79.9782,782.3413449923197,782.3413449923197,1.0
270000,1.2100942,83.80459770114942,82.921684,707.3714260080557,707.3714260080557,1.0
280000,1.2077837,128.14285714285714,81.898895,810.7217732353703,810.7217732353703,1.0
290000,1.2052034,110.15463917525773,82.01891,807.6639845395575,807.6639845395575,1.0
300000,1.2027414,73.264,85.34372,728.3562096434255,728.3562096434255,1.0
310000,1.201275,92.5050505050505,81.947105,800.7203268137845,800.7203268137845,1.0
320000,1.1986129,103.83516483516483,84.25513,798.4382984566165,798.4382984566165,1.0
330000,1.1982249,121.53488372093024,82.52027,845.0035383208044,845.0035383208044,1.0
340000,1.1977082,110.41052631578947,83.68246,770.9081635093316,770.9081635093316,1.0
350000,1.19774,99.02,82.79847,743.7105170801433,743.7105170801433,1.0
360000,1.1963185,95.90196078431373,84.37198,765.3759586906433,765.3759586906433,1.0
370000,1.193897,107.05940594059406,85.63966,754.3751095321691,754.3751095321691,1.0
380000,1.1915059,81.37837837837837,88.21906,716.8817520938136,716.8817520938136,1.0
390000,1.188132,90.1344537815126,86.82719,678.6870751569669,678.6870751569669,1.0
400000,1.1867565,82.30434782608695,88.45653,664.1763873058817,664.1763873058817,1.0
410000,1.1864101,74.01428571428572,92.73296,723.7395998772155,723.7395998772155,1.0
420000,1.1842661,83.05,94.24697,770.6018976042668,770.6018976042668,1.0
430000,1.1812291,73.26666666666667,95.26905,747.0916349808375,747.0916349808375,1.0
440000,1.1792028,93.6875,92.89827,749.2972712806895,749.2972712806895,1.0
450000,1.1781899,73.56296296296296,98.11366,732.758433900056,732.758433900056,1.0
460000,1.1776928,73.4921875,96.527214,755.5819366717524,755.5819366717524,1.0
470000,1.1783808,76.46341463414635,98.600494,733.3631607544038,733.3631607544038,1.0
480000,1.1785316,83.70833333333333,98.40118,756.781411788861,756.781411788861,1.0
490000,1.1778097,100.76923076923077,94.37391,781.1467632943621,781.1467632943621,1.0
500000,1.1759639,77.34677419354838,98.13794,721.6160190260507,721.6160190260507,1.0
510000,1.1739099,94.42201834862385,101.55702,786.6402415398064,786.6402415398064,1.0
520000,1.1724716,75.61111111111111,99.72067,758.8091127290501,758.8091127290501,1.0
530000,1.1705365,84.55140186915888,98.186035,733.6166152247677,733.6166152247677,1.0
540000,1.168223,82.83941605839416,104.57744,746.7858255978892,746.7858255978892,1.0
550000,1.1667142,75.992,105.29136,747.5813314417215,747.5813314417215,1.0
560000,1.1662697,85.44347826086957,103.74177,749.4441851726893,749.4441851726893,1.0
570000,1.1660548,75.14876033057851,108.26918,778.4026908884283,778.4026908884283,1.0
580000,1.1652337,94.35,104.66199,760.369114691019,760.369114691019,1.0
590000,1.1644223,63.44230769230769,111.56194,720.5146700067398,720.5146700067398,1.0
600000,1.163541,65.48920863309353,112.19112,748.250704710432,748.250704710432,1.0
610000,1.1622595,73.2890625,110.13326,709.7840541841448,709.7840541841448,1.0
620000,1.1608362,67.3375,113.16169,716.038337794351,716.038337794351,1.0
630000,1.1591346,73.10416666666667,112.59635,734.7569062130319,734.7569062130319,1.0
640000,1.1580722,66.12587412587412,114.35657,733.1769783778323,733.1769783778323,1.0
650000,1.1577439,63.873333333333335,116.534256,725.6793595472972,725.6793595472972,1.0
660000,1.1570497,66.79054054054055,117.13743,727.756164509178,727.756164509178,1.0
670000,1.1556371,67.89855072463769,119.623405,730.331422148432,730.331422148432,1.0
680000,1.1557916,77.98425196850394,119.51933,756.9968567639589,756.9968567639589,1.0
690000,1.1556888,64.88888888888889,120.410545,729.6485863791572,729.6485863791572,1.0
700000,1.1542281,73.56164383561644,123.05093,743.6952377369959,743.6952377369959,1.0
710000,1.1524415,58.63855421686747,125.402756,737.0068567636554,737.0068567636554,1.0
720000,1.1509784,66.0125,123.877144,689.8319741427898,689.8319741427898,1.0
730000,1.1493803,57.969325153374236,126.7915,728.9858104700133,728.9858104700133,1.0
740000,1.1486363,60.7888198757764,127.21514,746.6865761146782,746.6865761146782,1.0
750000,1.147353,59.51898734177215,130.9875,732.4174156636,732.4174156636,1.0
760000,1.1474159,57.490196078431374,130.12114,735.2719124896186,735.2719124896186,1.0
770000,1.1483629,68.8076923076923,133.46117,742.7590963848127,742.7590963848127,1.0
780000,1.1480973,61.54430379746835,131.62944,673.7200466626845,673.7200466626845,1.0
790000,1.1464354,57.648809523809526,135.88913,751.1634214481194,751.1634214481194,1.0
800000,1.1454998,65.44520547945206,134.27786,745.5445311626002,745.5445311626002,1.0
810000,1.1435524,61.705882352941174,139.97159,724.7198221892642,724.7198221892642,1.0
820000,1.1426367,57.47222222222222,140.89134,712.2884473184521,712.2884473184521,1.0
830000,1.1417482,54.07142857142857,143.23123,716.0946794376998,716.0946794376998,1.0
840000,1.1410587,50.33695652173913,147.45409,721.488673277159,721.488673277159,1.0
850000,1.1409695,56.16374269005848,147.51686,687.9005884548832,687.9005884548832,1.0
860000,1.1401739,56.43888888888889,148.98099,718.8760315107377,718.8760315107377,1.0
870000,1.1392144,52.497142857142855,150.29071,723.5832251249041,723.5832251249041,1.0
880000,1.1380409,62.6875,151.85722,725.0420542429692,725.0420542429692,1.0
890000,1.1362889,54.13966480446928,154.82887,726.5068807323773,726.5068807323773,1.0
900000,1.134796,54.70414201183432,154.26288,711.6692519427756,711.6692519427756,1.0
