Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.1847696,26.144654088050313,-1.4464,-1.8349056603773586,-1.8349056603773586,1.0
20000,1.1857215,29.802816901408452,-1.3537364,-1.7838983050847457,-1.7838983050847457,1.0
30000,1.186299,28.0404984423676,-1.4118451,-1.8788819875776397,-1.8788819875776397,1.0
40000,1.1874433,23.715686274509803,-1.4505965,-1.9366883116883118,-1.9366883116883118,1.0
50000,1.1880383,36.39116719242902,-1.4424895,-1.9290220820189274,-1.9290220820189274,1.0
60000,1.1881856,29.65686274509804,-1.5216582,-1.9411764705882353,-1.9411764705882353,1.0
70000,1.188677,29.08169934640523,-1.4839357,-1.9462540716612378,-1.9462540716612378,1.0
80000,1.1914294,33.3421052631579,-1.4243743,-1.9210526315789473,-1.9210526315789473,1.0
90000,1.1922324,34.5993690851735,-1.3953055,-1.8675078864353312,-1.8675078864353312,1.0
100000,1.1908017,29.916107382550337,-1.452391,-1.919732441471572,-1.919732441471572,1.0
110000,1.1901704,30.40655737704918,-1.4198315,-1.9315960912052117,-1.9315960912052117,1.0
120000,1.1917434,35.43706293706294,-1.3965975,-1.9634146341463414,-1.9634146341463414,1.0
130000,1.1931547,32.59139784946237,-1.3814316,-1.9408602150537635,-1.9408602150537635,1.0
140000,1.1928684,30.342960288808666,-1.362512,-1.9566787003610109,-1.9566787003610109,1.0
150000,1.1928644,41.34090909090909,-1.3697906,-1.971698113207547,-1.971698113207547,1.0
160000,1.1934597,30.68864468864469,-1.4107561,-1.9945054945054945,-1.9945054945054945,1.0
170000,1.1938097,45.4296875,-1.3712053,-1.98828125,-1.98828125,1.0
180000,1.1937089,28.370833333333334,-1.3160719,-1.94375,-1.94375,1.0
190000,1.1938875,51.024096385542165,-1.3193325,-1.9397590361445782,-1.9397590361445782,1.0
200000,1.193735,39.78540772532189,-1.3164756,-1.9106382978723404,-1.9106382978723404,1.0
210000,1.1929728,42.26267281105991,-1.3043123,-1.7777777777777777,-1.7777777777777777,1.0
220000,1.1924391,40.3696682464455,-1.2285134,-1.676056338028169,-1.676056338028169,1.0
230000,1.1916486,45.57920792079208,-1.1362805,-1.6584158415841583,-1.6584158415841583,1.0
240000,1.1908263,56.09502262443439,-1.0845696,-1.6727272727272726,-1.6727272727272726,1.0
250000,1.1908047,44.522167487684726,-1.050405,-1.575609756097561,-1.575609756097561,1.0
260000,1.191202,42.69230769230769,-1.0385126,-1.6173469387755102,-1.6173469387755102,1.0
270000,1.1910857,47.63157894736842,-1.0533193,-1.644736842105263,-1.644736842105263,1.0
280000,1.1907316,67.97916666666667,-1.0121828,-1.5703125,-1.5703125,1.0
290000,1.1906682,49.155080213903744,-0.9913645,-1.5828877005347595,-1.5828877005347595,1.0
300000,1.1905589,55.1437125748503,-0.9294052,-1.4821428571428572,-1.4821428571428572,1.0
310000,1.1901007,52.50617283950617,-0.8883401,-1.4130434782608696,-1.4130434782608696,1.0
320000,1.1892315,76.28125,-0.87464136,-1.3518518518518519,-1.3518518518518519,1.0
330000,1.1889459,46.50310559006211,-0.839394,-1.3425925925925926,-1.3425925925925926,1.0
340000,1.1887431,48.152866242038215,-0.7989977,-1.4171974522292994,-1.4171974522292994,1.0
350000,1.1882844,52.467948717948715,-0.78418976,-1.3598726114649682,-1.3598726114649682,1.0
360000,1.1883045,87.3921568627451,-0.7495207,-1.3333333333333333,-1.3333333333333333,1.0
370000,1.1882623,70.19871794871794,-0.7564093,-1.3461538461538463,-1.3461538461538463,1.0
380000,1.1884923,40.98601398601399,-0.7645752,-1.3404255319148937,-1.3404255319148937,1.0
390000,1.188457,80.66442953020135,-0.71034557,-1.3116438356164384,-1.3116438356164384,1.0
400000,1.1878664,65.58741258741259,-0.7041568,-1.3412162162162162,-1.3412162162162162,1.0
410000,1.1874696,78.00675675675676,-0.70006,-1.320945945945946,-1.320945945945946,1.0
420000,1.1871042,60.436619718309856,-0.7416725,-1.3496503496503496,-1.3496503496503496,1.0
430000,1.1870747,81.76551724137931,-0.71736735,-1.3424657534246576,-1.3424657534246576,1.0
440000,1.1871796,63.2,-0.7091296,-1.2392857142857143,-1.2392857142857143,1.0
450000,1.1872764,47.42857142857143,-0.71201104,-1.325,-1.325,1.0
460000,1.1872829,73.53237410071942,-0.6917929,-1.2877697841726619,-1.2877697841726619,1.0
470000,1.1872555,87.99264705882354,-0.66279507,-1.1948529411764706,-1.1948529411764706,1.0
480000,1.1871918,69.66891891891892,-0.66510713,-1.2702702702702702,-1.2702702702702702,1.0
490000,1.1871504,68.91666666666667,-0.6874274,-1.2708333333333333,-1.2708333333333333,1.0
500000,1.1871299,73.25874125874125,-0.66373193,-1.28125,-1.28125,1.0
