Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4963577,85.7,6.108334,-99.9920000916347,-99.9920000916347,1.0
20000,1.4964652,335.5,5.6539536,100.59505069232546,100.59505069232546,1.0
30000,1.4977049,554.8333333333334,4.5902553,108.5133330738172,108.5133330738172,1.0
40000,1.4999994,575.0769230769231,4.36849,69.67065640968772,69.67065640968772,1.0
50000,1.5019253,1083.0,2.6943717,-99.83571402941432,-99.83571402941432,1.0
60000,1.5038992,744.2857142857143,2.1316183,6.443748736055568,6.443748736055568,1.0
70000,1.5040034,791.0,1.648538,25.31999998446554,25.31999998446554,1.0
80000,1.5032717,1184.75,1.4904448,-99.9799991636537,-99.9799991636537,1.0
90000,1.5034081,None,1.3785751,None,None,1.0
100000,1.5038348,1790.5,0.9732047,-100.05000259168446,-100.05000259168446,1.0
110000,1.5041649,1027.25,1.4343324,-100.14000067627057,-100.14000067627057,1.0
120000,1.5042285,2629.0,1.251187,-100.07600054293871,-100.07600054293871,1.0
130000,1.5044564,None,2.138145,None,None,1.0
140000,1.5047765,537.0,1.9764552,-99.93000000156462,-99.93000000156462,1.0
150000,1.5052197,None,1.429158,None,None,1.0
160000,1.5047065,None,1.3907636,None,None,1.0
170000,1.504086,3539.0,1.1624286,-100.4899966288358,-100.4899966288358,1.0
180000,1.504613,3189.0,1.0148815,-100.28999770898372,-100.28999770898372,1.0
190000,1.5049006,3988.5,0.83443505,-99.86499748798087,-99.86499748798087,1.0
200000,1.504669,2094.25,1.0836219,113.5183045854792,113.5183045854792,1.0
210000,1.5048597,2069.8333333333335,1.3250558,42.08135557795564,42.08135557795564,1.0
220000,1.5052118,350.4,1.054258,70.55680004172027,70.55680004172027,1.0
230000,1.5054563,485.2,0.38309804,-99.76333471698065,-99.76333471698065,1.0
240000,1.5054904,2233.0,0.350115,-63.99142740587039,-63.99142740587039,1.0
250000,1.5063922,513.0,0.7090679,-99.83000015839934,-99.83000015839934,1.0
260000,1.5067909,6206.0,0.69998425,-99.31000337935984,-99.31000337935984,1.0
270000,1.5074788,None,0.54014844,None,None,1.0
280000,1.5093024,922.0,0.7426077,1025.1050019804388,1025.1050019804388,1.0
290000,1.5097632,None,0.66125053,None,None,1.0
300000,1.5102106,734.0,0.43212098,400.29997557401657,400.29997557401657,1.0
310000,1.5104324,1324.5,0.52728444,-100.03000152483582,-100.03000152483582,1.0
320000,1.5100683,4060.285714285714,-0.58495086,236.04557777994447,236.04557777994447,1.0
330000,1.5086142,999.5,-0.5442925,-100.11000060196966,-100.11000060196966,1.0
340000,1.5089912,3820.5,-0.5148742,-99.70999695546925,-99.70999695546925,1.0
350000,1.5084924,None,-0.09843177,None,None,1.0
360000,1.5063335,None,-0.06442483,None,None,1.0
370000,1.5062416,None,-0.44452295,None,None,1.0
380000,1.5058117,4734.0,-0.2662739,650.7299929596484,650.7299929596484,1.0
390000,1.5050908,None,0.12183256,None,None,1.0
400000,1.505007,1816.0,-0.03978854,-100.2299999948591,-100.2299999948591,1.0
410000,1.5053273,2574.0,-0.22063325,-100.1300036534667,-100.1300036534667,1.0
420000,1.5057602,5581.0,0.07783761,-99.96999876387417,-99.96999876387417,1.0
430000,1.5065163,None,0.2955838,None,None,1.0
440000,1.5065113,None,0.31466725,None,None,1.0
450000,1.5063062,None,0.2788939,None,None,1.0
460000,1.5058063,None,0.1944325,None,None,1.0
470000,1.5048674,None,0.2458369,None,None,1.0
480000,1.5037475,None,0.14750536,None,None,1.0
490000,1.5033078,None,0.05827093,None,None,1.0
500000,1.5031912,14420.0,-0.02984008,-100.45000422559679,-100.45000422559679,1.0
510000,1.5034083,5568.0,0.10986666,-100.7299999538809,-100.7299999538809,1.0
520000,1.5042919,None,0.014661321,None,None,1.0
530000,1.5049441,None,0.06491038,None,None,1.0
540000,1.5048081,6362.0,0.012828686,-99.68999664485455,-99.68999664485455,1.0
550000,1.5046655,None,0.022963166,None,None,1.0
560000,1.5049351,None,0.4104802,None,None,1.0
570000,1.5054511,None,0.3651301,None,None,1.0
580000,1.5059247,None,0.13277385,None,None,1.0
590000,1.506166,None,0.20729181,None,None,1.0
600000,1.5056776,11240.0,0.04545087,-99.53999908827245,-99.53999908827245,1.0
610000,1.5041374,None,-0.24023709,None,None,1.0
620000,1.5030324,None,-0.17174962,None,None,1.0
630000,1.5022945,None,0.10237694,None,None,1.0
640000,1.5022401,None,0.12648687,None,None,1.0
650000,1.5013441,2380.0,-0.07527486,-100.07999893650413,-100.07999893650413,1.0
660000,1.5013565,None,-0.055024862,None,None,1.0
670000,1.5010947,None,0.010667271,None,None,1.0
680000,1.501063,None,0.016297173,None,None,1.0
690000,1.5009737,None,-0.037603978,None,None,1.0
700000,1.5010468,None,0.15859142,None,None,1.0
710000,1.5018336,None,-0.03498063,None,None,1.0
720000,1.5021926,10417.0,-0.09896546,750.2317309491336,750.2317309491336,1.0
730000,1.501901,None,-0.1379488,None,None,1.0
740000,1.5010417,None,-0.31083894,None,None,1.0
750000,1.5006564,None,-0.08411611,None,None,1.0
760000,1.5005094,None,0.009340116,None,None,1.0
770000,1.500051,1764.0,-0.14510557,-99.73999788239598,-99.73999788239598,1.0
780000,1.4996918,20010.0,-0.012931163,1651.5600075703114,1651.5600075703114,1.0
790000,1.4997101,None,0.2734369,None,None,1.0
800000,1.4997603,None,0.19773833,None,None,1.0
810000,1.4996419,None,0.22045723,None,None,1.0
820000,1.499442,None,0.29821458,None,None,1.0
830000,1.499102,None,0.20308392,None,None,1.0
840000,1.498719,None,-0.10917693,None,None,1.0
850000,1.4984285,2261.0,-0.18649212,3649.879989022389,3649.879989022389,1.0
860000,1.498212,None,-0.10503241,None,None,1.0
870000,1.4981472,None,-0.382267,None,None,1.0
880000,1.4981772,763.0,-0.26102695,-99.67000153288245,-99.67000153288245,1.0
