Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.9858417,1695.2576,445.0952380952381,18182.82846126209,18182.82846126209,1.0
20000,0.9849731,1231.951,592.8125,21000.858209117316,21000.858209117316,1.0
30000,0.98354393,1142.328,754.7857142857143,26752.39915037368,26752.39915037368,1.0
40000,0.98121804,888.70447,736.3846153846154,29008.927956483683,29008.927956483683,1.0
50000,0.97968525,572.13885,1411.5,38564.09458792085,38564.09458792085,1.0
60000,0.97904,1015.3959,1085.888888888889,37083.11681147831,37083.11681147831,1.0
70000,0.9776545,1382.5648,612.5,29084.031540945172,29084.031540945172,1.0
80000,0.97588676,1055.6184,1030.0,49801.07779167322,49801.07779167322,1.0
90000,0.9749914,1165.8492,1035.0,22231.341063418426,22231.341063418426,1.0
100000,0.974084,850.4367,1391.888888888889,41482.17683451954,41482.17683451954,1.0
110000,0.9729478,718.41406,1226.1666666666667,43216.623949156456,43216.623949156456,1.0
120000,0.9713224,1708.7166,630.6666666666666,20978.50055624793,20978.50055624793,1.0
130000,0.9692341,1272.137,580.4666666666667,31987.10923078706,31987.10923078706,1.0
140000,0.96683085,1026.06,1079.6,51303.781225520375,51303.781225520375,1.0
150000,0.96570194,1439.2527,649.5714285714286,13209.047930377934,13209.047930377934,1.0
160000,0.964928,1452.1411,874.0714285714286,35699.61768718223,35699.61768718223,1.0
170000,0.96396613,1227.1041,724.5714285714286,31347.1726669121,31347.1726669121,1.0
180000,0.96307737,1758.8655,543.0,28726.56163580088,28726.56163580088,1.0
190000,0.9621704,1178.4042,966.1,35560.86230663881,35560.86230663881,1.0
200000,0.9615043,749.6419,1432.6666666666667,34602.98693546032,34602.98693546032,1.0
210000,0.9614028,1428.9259,783.5333333333333,29177.647483007717,29177.647483007717,1.0
220000,0.9614436,1390.6763,557.4705882352941,37987.00716569937,37987.00716569937,1.0
230000,0.9613064,1524.6832,562.6428571428571,23855.01690034781,23855.01690034781,1.0
240000,0.96147645,1633.7098,762.8823529411765,26390.402366171427,26390.402366171427,1.0
250000,0.96167773,798.5548,1050.0,38394.707843257114,38394.707843257114,1.0
260000,0.96164656,1640.6903,592.5882352941177,24115.754478484392,24115.754478484392,1.0
270000,0.96177703,1732.9967,524.1052631578947,28356.55015800423,28356.55015800423,1.0
280000,0.96228415,1255.2462,880.8,26936.896867851912,26936.896867851912,1.0
290000,0.9623188,1340.7755,968.2307692307693,40470.73822512535,40470.73822512535,1.0
300000,0.9616002,1273.6659,750.6666666666666,29228.990408739075,29228.990408739075,1.0
310000,0.96134084,882.93915,991.6666666666666,40494.10633959373,40494.10633959373,1.0
320000,0.9614565,1549.628,670.75,32425.993468738627,32425.993468738627,1.0
330000,0.96113324,1578.4053,623.0,30352.67850092141,30352.67850092141,1.0
340000,0.9609125,1184.735,730.2727272727273,26243.12470873513,26243.12470873513,1.0
350000,0.9608421,1062.6423,1471.5,61839.66965698637,61839.66965698637,1.0
360000,0.9606701,1574.0632,558.3076923076923,19398.395709718076,19398.395709718076,1.0
370000,0.96095276,1108.0623,1158.5454545454545,47520.05992867459,47520.05992867459,1.0
380000,0.960953,1344.4459,720.4285714285714,34783.0474270082,34783.0474270082,1.0
390000,0.961162,1561.9397,579.6875,33083.454507307615,33083.454507307615,1.0
400000,0.9615717,1056.2969,1036.4,46712.59222002774,46712.59222002774,1.0
410000,0.9615086,1301.3754,1090.5,42401.69929621369,42401.69929621369,1.0
420000,0.96157193,1533.6158,821.3333333333334,34102.92356646955,34102.92356646955,1.0
430000,0.961721,1389.9711,618.2666666666667,34474.18742257605,34474.18742257605,1.0
440000,0.9616898,1470.448,768.4285714285714,39039.84754602025,39039.84754602025,1.0
450000,0.96176064,1092.3373,891.2,45578.9065141581,45578.9065141581,1.0
460000,0.9617573,1343.713,818.5,41179.769555761166,41179.769555761166,1.0
470000,0.96178865,1565.6793,651.7058823529412,36642.57739238266,36642.57739238266,1.0
480000,0.9618035,1689.6143,523.8333333333334,31540.213984918264,31540.213984918264,1.0
490000,0.9618111,1342.8258,689.0769230769231,39519.3428685476,39519.3428685476,1.0
500000,0.9618158,1364.9694,974.2,48612.5383801423,48612.5383801423,1.0
