Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.0917786,235.85714285714286,3738.35,19059.879636439895,19059.879636439895,1.0
20000,1.0918913,256.1515151515151,3850.108,21684.666437322445,21684.666437322445,1.0
30000,1.0920792,237.66666666666666,3700.9788,19699.82683454241,19699.82683454241,1.0
40000,1.093107,255.44117647058823,3772.9092,21693.97639016544,21693.97639016544,1.0
50000,1.0934279,244.5,3798.5095,20452.67916191949,20452.67916191949,1.0
60000,1.0930927,256.8611111111111,3733.0588,21855.364003499348,21855.364003499348,1.0
70000,1.0926017,262.05882352941177,3762.6487,22408.6427874037,22408.6427874037,1.0
80000,1.0923457,244.73684210526315,3715.3616,20499.886721962375,20499.886721962375,1.0
90000,1.0926698,261.6470588235294,3785.2878,22367.55503396427,22367.55503396427,1.0
100000,1.0916723,256.97222222222223,3715.7776,21863.71994188097,21863.71994188097,1.0
110000,1.090247,256.62857142857143,3758.5417,21822.687862723214,21822.687862723214,1.0
120000,1.0891364,261.2857142857143,3735.8306,22431.276914760045,22431.276914760045,1.0
130000,1.0891814,571.2285714285714,3888.1018,21753.604131047374,21753.604131047374,1.0
140000,1.0896044,245.3684210526316,3845.3162,20623.513532136614,20623.513532136614,1.0
150000,1.0895853,262.3333333333333,3955.601,22424.03999004942,22424.03999004942,1.0
160000,1.0897446,240.75,3920.7302,20107.968520705763,20107.968520705763,1.0
170000,1.0907547,268.2,3804.1477,23117.04077845982,23117.04077845982,1.0
180000,1.0911684,268.96875,3882.2666,23156.086322784424,23156.086322784424,1.0
190000,1.091499,405.1621621621622,3818.9993,21875.356053652442,21875.356053652442,1.0
200000,1.0918766,235.2972972972973,3981.4045,19497.222270764803,19497.222270764803,1.0
210000,1.0909003,251.5142857142857,4011.7603,21116.94927106585,21116.94927106585,1.0
220000,1.0903867,260.5945945945946,3798.1145,21932.31183191248,21932.31183191248,1.0
230000,1.0905333,263.125,3953.7625,22509.239463806152,22509.239463806152,1.0
240000,1.0898075,268.75,3874.0842,23168.417358398438,23168.417358398438,1.0
250000,1.0893971,391.1388888888889,4008.5044,20724.01714885245,20724.01714885245,1.0
