Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-1.1276696,1580.0,-0.9,-0.9,1.0
20000,1.4175009,-1.0413519,762.8666666666667,-0.6333333333333333,-0.6333333333333333,1.0
30000,1.4146203,-0.60894245,667.0625,-0.9666666666666667,-0.9666666666666667,1.0
40000,1.4113333,-0.69186103,404.7083333333333,-1.0,-1.0,1.0
50000,1.4103262,-0.48565373,361.0,-0.23214285714285715,-0.23214285714285715,1.0
60000,1.4071071,-0.45254773,265.9189189189189,-0.5135135135135135,-0.5135135135135135,1.0
70000,1.4040029,-0.39507112,303.3333333333333,-0.3181818181818182,-0.3181818181818182,1.0
80000,1.4016957,-0.26581582,343.7241379310345,-0.3620689655172414,-0.3620689655172414,1.0
90000,1.4013311,-0.26057294,567.7058823529412,-0.47058823529411764,-0.47058823529411764,1.0
100000,1.4011062,-0.20917377,1695.5,1.0,1.0,1.0
110000,1.4002988,-0.17208487,2424.6666666666665,0.3333333333333333,0.3333333333333333,1.0
120000,1.3992898,-0.051925767,7182.0,-0.5,-0.5,1.0
130000,1.3996015,-0.19863078,10115.0,-0.5,-0.5,1.0
140000,1.3999875,-0.119910635,11402.0,-1.0,-1.0,1.0
150000,1.3998392,-0.06736998,4283.5,-0.75,-0.75,1.0
160000,1.4001893,-0.11368315,None,None,None,1.0
170000,1.4003042,-0.090546325,None,None,None,1.0
180000,1.3996956,-0.06417092,17661.0,-0.75,-0.75,1.0
190000,1.398921,-0.030548519,474.0,-1.0,-1.0,1.0
200000,1.3976845,-0.020656448,None,None,None,1.0
210000,1.396829,-0.020996999,20642.0,-0.5,-0.5,1.0
220000,1.3966588,-0.039571173,None,None,None,1.0
230000,1.3961197,-0.052303422,None,None,None,1.0
240000,1.3953513,-0.048267756,None,None,None,1.0
250000,1.3942449,-0.061144326,43505.0,-1.0,-1.0,1.0
260000,1.3936138,-0.035946917,6323.5,-0.5,-0.5,1.0
270000,1.3928145,-0.018187245,4950.0,-0.5,-0.5,1.0
280000,1.3918978,-0.009376138,11872.0,-0.5,-0.5,1.0
290000,1.3908635,-0.0005622621,None,None,None,1.0
300000,1.3895639,-0.006315788,18551.0,-0.5,-0.5,1.0
310000,1.3884239,0.001512473,None,None,None,1.0
320000,1.3881062,0.0043555074,None,None,None,1.0
330000,1.3881001,0.018115643,None,None,None,1.0
340000,1.387809,0.023210693,45498.0,-0.5,-0.5,1.0
350000,1.3873029,-0.00010980998,None,None,None,1.0
360000,1.3873624,-0.0080477,None,None,None,1.0
370000,1.3878943,-0.016860418,None,None,None,1.0
380000,1.3876841,-0.021673502,None,None,None,1.0
390000,1.3876169,-0.017164342,47469.0,-0.5,-0.5,1.0
400000,1.3874142,-0.0011466601,None,None,None,1.0
410000,1.3874184,0.006220718,None,None,None,1.0
420000,1.3875356,-0.005553786,None,None,None,1.0
430000,1.3875369,0.025834989,None,None,None,1.0
440000,1.3871465,0.03897527,None,None,None,1.0
450000,1.3869815,0.073546946,63814.0,-0.5,-0.5,1.0
460000,1.3868101,-0.02688459,9887.0,-0.5,-0.5,1.0
470000,1.3867254,0.01340239,10530.0,-0.5,-0.5,1.0
480000,1.3867441,-0.01427635,None,None,None,1.0
490000,1.3867716,-0.03146692,12683.0,-0.5,-0.5,1.0
500000,1.386791,-0.034508355,None,None,None,1.0
